,en,zh
1543,"Well, let's go.",好吧，我们走吧。
12120,How dare you say that to me!,你怎么能这么对我说话！
17540,It is already past five o'clock.,已经过了五点钟。
23617,Do you know how to eat with chopsticks?,你会用筷子吃饭吗？
28469,No less than three hundred dollars was needed for the work.,这个工作需要不低于300美金。
14408,How many pictures did you buy?,你买了多少张图画?
14893,My father died four years ago.,我的父亲四年前去世了。
32,Be calm.,冷静点。
7187,"Open your eyes, please.",请睁开眼睛。
26469,I don't think that I like this game very much.,我觉得我不太喜欢这游戏。
23842,It's hard to maintain one's reputation.,维持一个人的声誉是很难的。
25532,I invited him to the party and he accepted.,我邀请他去派对，他接受了。
12213,I don't want either of them.,它们中没有我要的。
22375,Any student can answer that question.,任何学生都可以回答这个问题。
17994,Tom watched Mary draw a picture.,汤姆看玛丽画一幅画。
17323,I couldn't understand his ideas.,我无法理解他的想法。
24371,She is interested in learning new ideas.,她有兴趣学习新的想法。
17325,I didn't feel like buying a car.,我不想买车。
8749,Do you believe in ghosts?,你相信鬼存在吗？
745,Is that love?,那是爱吗？
4083,Which is your book?,哪本是你们的书？
2877,I beg your pardon?,不好意思，能请您重复一遍吗？
22153,The x-ray showed two broken fingers.,X光片显示两根手指断了。
9933,He has all kinds of books.,他有各种各样的书。
23733,I found a beautiful shell on the shore.,我在海滩上发现了一个漂亮的贝壳。
2651,We're all hungry.,我们都饿了。
25444,Can you make yourself understood in French?,别人听得懂你说的法语吗？
25322,This cake tastes like it has cheese in it.,这块蛋糕尝起来有奶酪的味道。
18205,Almost all the doors were closed.,几乎所有门都关了。
27165,He should apologize for being rude to the guests.,他应该为自己对客人的粗鲁无礼而道歉。
26330,Tom isn't nearly as smart as he thinks he is.,汤姆并不像他自认为的那么聪明。
7146,Lie on your right side.,躺在你右边。
957,I have a cold.,我感冒了。
2110,You're babbling.,你说话含糊不清。
19603,He gave me a smile of recognition.,他给了我一个认可的微笑。
5108,How much did you bid?,你出价多少？
23595,"An eye for an eye, a tooth for a tooth.",以眼还眼以牙还牙
7631,Are they treated fairly?,他们受到公正对待了吗？
28508,We will continue the meeting after some light refreshments.,茶点过后我们接着开会。
26495,I'm not one hundred percent convinced of that.,我不是百分之百确定。
28030,We should approach this problem from different angles.,我们应该用各种不同的角度看待此问题
24985,True friendship is based on mutual trust.,真正的友谊建立在彼此信任的基础上。
19161,This book is worth reading again.,这本书值得再看一遍。
13535,I'm not a member of the club.,我不是这个俱乐部的会员。
10960,Have you ever seen a koala?,您曾经见过考拉吗？
21543,What do you think of Japanese food?,你觉得日本料理怎么样？
8847,He has no sense of humor.,他没有任何幽默感。
12911,We don't have time to argue.,我们没有时间来辩论。
26394,A large pillar obstructs the view of the lake.,巨大的柱子遮住了视线，让人看不到湖。
24347,My knowledge of Japanese is rather poor.,我对日文不大了解。
21413,This river is dangerous to swim in.,在这条河里游泳很危险。
19553,Elephants live in Asia and Africa.,大象生活在亚洲和非洲。
17853,There wasn't a cloud in the sky.,天上没有一片云。
10391,Please bill us separately.,请让我们分开付钱。
4640,That was my mistake.,那是我的错。
2399,Is that your car?,那是你的车吗?
7310,The negotiation is off.,谈判中止了。
17276,How long can I borrow this book?,这本书我能借多久？
25368,Tom was hit by a truck and died instantly.,汤姆被卡车撞到而且当场死亡。
12000,Get them before they get us.,先下手为强，后下手遭殃。
14024,What did you come here to do?,您来这儿干嘛？
24212,I could barely get out of bed yesterday.,我昨天几乎下不了床。
9597,Tom used to wear glasses.,汤姆以前戴眼镜。
24182,He was in prison on a charge of robbery.,他以偷窃罪入狱。
2625,Turn to the left.,向左转。
22778,The people here are used to the cold.,这里的人习惯了寒冷。
11340,It's none of your business.,这不关你的事。
3346,Where's my folder?,我的文档夹去哪了？
15835,He's just a business associate.,他只是个事业合伙人。
24530,We had three tries and failed each time.,我们试了三次，都失败了。
8297,The boy is eating bread.,这个男孩子在吃面包。
8959,Hunger is the best sauce.,对于一个饥饿的人来说，任何食物都是美味。
16460,She whispered something to him.,她对他小声说了些什么。
22578,I will be happy to attend your party.,我很快乐能参加你的派对。
6651,Why don't you go home?,你为什么不回家呢？
4947,Are you good at math?,你数学好吗？
27624,There are times when I find you really interesting.,偶尔，我觉得你是一个很有趣的人。
10452,She was run over by a car.,她被车子辗过了。
16218,"In case of fire, ring the bell.",万一发生火灾，按铃。
9967,He's good at flying kites.,他擅长放风筝。
24225,I don't know whether I have time or not.,我不知道有没有时间。
22171,There were few children in the room.,房间里没几个小孩子。
93,Drive on.,往前开。
17253,Her mother made her a new dress.,她的妈妈给她做一件新衣服。
7171,My passport was stolen.,我护照被偷了。
6791,Don't start without me.,我不在就别开始。
9139,I usually get up at 6:00.,我一般六点起床。
29046,Eighty percent of all information on computers around the world is in English.,全世界百分之八十计算机上的信息都是用英语写的。
18722,I'm not sure what I was thinking.,我不确定当时我正在想什么。
19786,I don't want to talk about myself.,我不想谈我自己。
24049,What are your strengths and weaknesses?,你们的优点和缺点是什么？
7844,He's the same age as me.,他和我同岁。
16331,My uncle lives near the school.,我叔叔住在学校附近。
21109,Please enjoy yourself at the dance.,请尽情地跳舞。
1885,It's okay to go.,你可以走了。
25504,I can't tell you how much we've missed you.,想死你啦！
23910,She's determined to become a secretary.,她下决心要成为秘书。
12786,This flag is very beautiful.,这面旗子很漂亮。
5773,You're a true friend.,你是个真正的朋友。
19090,The street is paved with asphalt.,这条街铺上了柏油。
8190,Our flight was canceled.,我们的航班被取消了。
20084,Paper was invented by the Chinese.,纸是由中国人发明的。
2,Run.,你用跑的。
16091,I walked as far as the station.,我一直走到火车站。
2759,Could you help me?,你能帮我吗？
21098,Our country's climate is temperate.,我国是温带气候。
19408,You must get up a little earlier.,你该早一点起床。
12222,I forget where I put my hat.,我忘了我把我的帽子放在哪里了。
9425,Ten years is a long time.,十年是很长的时间。
26816,There aren't that many synagogues in this city.,这座城犹太教堂不怎么多。
7849,Hold on just one second.,请稍等一下。
3175,They were worried.,他们担心。
22425,Eating raw eggs could be bad for you.,吃生蛋可能是危险的。
15669,He applied for the scholarship.,他申请了奖学金。
16304,My brother is small but strong.,我哥哥虽然矮小可是很强壮。
2465,"No pain, no gain.",一分耕耘，一分收获。
24313,"If we don't keep walking, we'll be late.",如果我们不继续赶路，我们会迟到的。
14274,He belongs to the camera club.,他参加摄影社。
26638,"When she was thirteen, she ran away from home.",她十三岁的时候离家出走了。
15612,Don't be late for school again.,不要再上学迟到了。
20585,Dinner will be ready by six-thirty.,晚餐将在六点半前开饭。
2511,Tell me about it.,跟我讲讲那件事。
15248,Tom gave me something to read.,汤姆给了我一些东西读。
23368,The admission is ten dollars a person.,入场费一个人10美元。
25812,Christmas is definitely my favorite holiday.,圣诞节绝对是我最喜欢的节日。
3621,I looked around me.,我看了看周围。
2317,I have a bicycle.,我有一辆自行车。
7086,I've got a few friends.,我有一些朋友。
18569,I go to the country every summer.,我每年夏天都去乡下。
4477,I'm not a bit tired.,我一点也不累。
10082,I got some sand in my eye.,我的眼睛进了些沙。
1155,We're special.,我们是特别的。
2486,She despised him.,她看不起他。
27404,"If that man makes one more mistake, I'll fire him.",如果那个男人再犯一个错误，我就开除他。
20250,There are many endangered species.,有许多濒危物种。
3227,Tom is a bit pale.,汤姆有点苍白
15015,She plays tennis every Sunday.,她每个星期天打网球。
13541,I'm not sure when he'll come.,我不确定他什么时候来。
4392,I know none of them.,他们中的任何一位我都不认识。
21957,I'm sorry that you are leaving here.,我很遗憾你要离开这里。
18847,My hobby is collecting old coins.,我的嗜好是收集古钱币。
8872,He must be the principal.,他一定是校长。
24848,Thank you for baking this delicious cake.,谢谢你烤的美味蛋糕。
2191,Everybody's here.,每个人都在这里。
9921,He complains all the time.,他总是在抱怨。
8001,I think that's not true.,我认为那不是真的。
24525,We can't deny the fact that he's honest.,我们无法否认，他确实是很诚实的人。
6668,You don't have to eat.,你不必吃。
13358,I don't know why you're here.,我不知道你为甚么在这里。
25216,My camera can shoot high-definition video.,我的录像机可以拍高清视频。
8163,May I take your picture?,我可以帮你照相吗？
17064,Do you think this thing is cute?,你觉得这个东西萌吗？
12818,Tom can't speak French well.,汤姆说法语说得不太好。
5909,He abandoned all hope.,他放弃了所有希望。
19246,Tom should've finished it by now.,汤姆现在应该已经完成了。
28847,You've worked hard for months and have certainly earned a holiday.,"你已经辛苦地工作好几个月了, 当然可以休假。"
22685,My uncle lived abroad for many years.,我叔叔住在国外很多年了。
27561,I'll only buy the car if they fix the brakes first.,除非他们事先修好刹车，我才会买车子。
20155,She should have been more careful.,她本来应该更小心的。
7320,The train came on time.,火车准时到了。
14142,You're always criticizing me.,你总是批评我！
21695,Did you have a good time last night?,你昨天晚上过得好吗？
5298,I'm learning English.,我学英文。
25743,Tom wanted to know if Mary had a boyfriend.,汤姆想知道玛丽是否有男朋友？
27411,It is extremely hot and humid in Bali in December.,12月份巴利岛极其炎热和潮湿。
4240,Have you been fired?,你曾经被开除过吗?
27087,Tom opened the blinds and looked out the window.,汤姆打开百叶窗，向窗外望去。
13934,Tom is just a little nervous.,汤姆就是有点紧张。
16205,I've done everything necessary.,我做完了所有重要的事。
18876,Our train leaves at eight-thirty.,我们的火车在八点半出发。
7612,You'd better start now.,你最好现在就开始。
9769,You'd better relax a bit.,你最好休息一下。
27371,I couldn't help but be impressed by Tom's courage.,汤姆的勇气给我留下了深刻印象。
10141,I remember the first time.,我记得第一次。
25116,"Hurry up, or you will miss the last train.",再不快点你就要赶不上末班车了。
2889,I can't calm down.,我没办法冷静下来。
22158,There are many old temples in Kyoto.,京都有许多古剎。
788,She may come.,她可以来。
19652,He must finish his homework today.,他今天必须完成他的功课。
22147,The surrounding area was very quiet.,周围的地区非常安静。
19597,He drank very little of the water.,他喝很少的水。
13636,Mary reminds me of my mother.,玛丽让我想起我母亲。
3401,You're very alert.,你真是警惕。
19180,This sentence doesn't make sense.,这句话没意思。
3377,You can't fire us.,你们不能解雇我们。
23044,Do you know whose handwriting this is?,你知道这是谁的字吗？
583,Turn around.,转过来。
9972,He's very straightforward.,他说话很直接。
16733,Tom was born in Boston in 2013.,汤姆出生于2013年波士顿。
19319,We're waiting for the right time.,我们在等对的时机。
20336,Tom got a late start this morning.,汤姆今早出发晚了。
15197,They went their separate ways.,他们分道而行。
13897,Tom didn't look happy at all.,汤姆看起来一点也不开心。
26574,The revolution has brought about many changes.,这场革命已经带来了很多改变。
801,Take it easy.,别紧张。
21613,You can keep this one for yourself.,你可以把这个保留给自己。
9173,I worked hard last month.,我上个月很努力工作。
11650,Tom has never been on time.,汤姆从来都没有准时过。
22966,Would you mind saying that once more?,请你再说一次好吗？
5173,I have a new red car.,我有一辆新的红色汽车。
6499,Tom doesn't talk much.,汤姆说话不多。
21404,This is going to be very expensive.,这要花很多钱。
16256,It's about time we went to bed.,差不多是我们就寝的时间了。
22026,My brother goes to college in Tokyo.,我兄弟在东京上大学。
17352,I don't want any bananas at all.,我一点也不要香蕉。
12847,Tom hasn't forgiven anybody.,汤姆没原谅过任何人。
18320,He came all the way from Chicago.,他从芝加哥远道而来了。
7709,Don't ask any questions.,别提问。
6853,He took out some coins.,他拿出了几枚硬币。
2756,"Come on, touch it.",来吧，摸一下。
6458,They never tell a lie.,他们从不说谎。
26606,Tom had no intention of giving Mary any money.,汤姆不想给玛丽一分钱。
14855,Learning English is hard work.,学习英语很辛苦。
12809,Those two are arguing again.,他们俩又在吵架了。
14792,"If you're busy, I'll help you.",如果你忙，我会帮你。
13806,The hunter shot the fox dead.,猎人射杀了狐狸。
18000,Travel agencies' profits soared.,旅行社的利润猛涨。
6942,I felt like I was dead.,我感觉好像死了一样。
27866,She ran very fast to catch up with the other members.,她跑得很快是为了赶上其他成员。
2170,Do you like rain?,你喜欢下雨吗？
27959,I was caught in a shower and got drenched to the skin.,我遇上了阵雨被淋得全身湿透。
5087,He's a bit energetic.,他有点活泼。
12059,He is unfit to be a teacher.,他不适合当老师。
22965,Would you like to eat lunch together?,要一起吃午餐吗？
8077,I'm not tired right now.,我现在不累。
23521,What do you think Tom's waist size is?,你认为汤姆的腰围是多少？
20790,I didn't know who Tom was at first.,我一开始不知道汤姆是谁。
5615,Tom still can't read.,汤姆还是不能读书。
13846,There's no water in the well.,这口井里没有水。
10974,He did not put up his hand.,他没有举起他的手。
28267,Write down the medicine you need on this piece of paper.,将你需要的药物写在这张纸上。
16112,I was late for the appointment.,我约会迟到了。
20082,Our library is on the third floor.,我们的图书馆在三楼。
13444,I paid him a visit yesterday.,我昨天去见他了。
13824,The road parallels the river.,这条路与河流平行。
13376,I don't want to play anymore.,我不想再玩了。
10067,I don't trust businessmen.,我不相信商人。
9481,The train got in on time.,火车准时到了。
2401,Is the door open?,门开着吗？
8111,It just started to rain.,刚开始下雨。
12397,I'd like to make more money.,我想赚更多钱。
20910,I was late for school this morning.,我今天早上上学迟到。
15702,He failed to answer the letter.,他没有回信。
11139,I have high blood pressure.,我有高血压。
21395,This box is not as big as that one.,这个盒子没那个盒子大。
1702,How interesting!,多么有趣啊！
20418,We left the final decision to him.,我们让他做最后的决定。
5641,We knew it all along.,我们一开始就知道。
29154,"If a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language.",如果一个人在成人前没有机会习得目标语言，他对该语言的认识达到母语者程度的机会是相当小的。
1124,Tom is lonely.,汤姆很孤独。
4521,It isn't spring yet.,春天尚未来临。
15077,Stay and have a drink with us.,留下来和我们一起喝酒吧。
14439,I asked Tom to close the door.,我要求汤姆关门。
21662,Absence makes the heart grow fonder.,小别胜新婚，久别情更深。
13003,Where is the police station?,警察局在哪里？
7764,He couldn't get the job.,他无法得到这份工作。
23457,"To my surprise, the door was unlocked.",令我惊讶的是，门没上锁。
9763,You must clear the table.,你必须把桌子清理干净。
22860,Tom didn't even notice Mary had gone.,汤姆甚至没注意到玛丽走了。
9735,Will you go out tomorrow?,你明天出去吗？
14158,A hungry pig dreams of acorns.,饥饿的猪梦到橡树子。
18595,I hope the economy picks up soon.,我希望经济很快复苏起来。
21618,You can't use this washing machine.,您不能使用这台洗衣机。
11612,This is just what I wanted.,我想要的就是这个。
3133,That house is big.,那栋房子很大。
4264,He is a learned man.,他是个有教养的人。
15329,We had a good time last night.,我们昨晚玩得很开心。
7972,I often have bad dreams.,我经常做噩梦。
4677,They were surprised.,他们震惊了。
19131,There's not a drop of water left.,没有剩下一滴水。
22124,The calculator on the table is mine.,桌上的计算器是我的。
18491,I almost never watch TV nowadays.,现在我几乎不看电视。
13320,I asked for my father's help.,我向我父亲求助。
23403,The ship was flying the American flag.,这艘船挂着美国国旗。
16246,It was raining when we arrived.,我们到的时候正在下雨。
11880,"You were hurt, weren't you?",你受伤了，不是吗？
23517,We're having an office party tomorrow.,我们明天有个办公室派对。
7062,I'm afraid of dentists.,我怕牙医。
4663,The picture is nice.,这画不错。
21453,Tom has just remodeled his kitchen.,汤姆刚改建了他的厨房。
24459,This is only one of the things we found.,这只是我们发现的东西之一。
2367,I'm a vegetarian.,我是素食主义者。
27865,She lost her way and on top of that it began to rain.,她迷路了，紧接着天开始下雨了。
9721,Why did you show me this?,你为什么让我看这个？
13928,Tom hitched a ride to Boston.,汤姆搭便车去波士顿了。
22866,Tom doubled his investment in a year.,汤姆一年内增加了一倍的投资。
16824,What have you done with my bag?,你用我的袋子做了什么？
14306,He is likely to be late again.,他可能又迟到了。
16142,"I'd like an aisle seat, please.",请给我靠走道的位子。
26793,Sometimes things that happen do not make sense.,有时候，发生的事情并不是合情合理的。
26190,I was able to succeed because of your advice.,我因为有你的建议纔能成功。
18824,Mary set the basket on the table.,玛丽把篮子放在桌子上了。
12884,Tom showed up at about 2:30.,汤姆两点半左右到的。
15401,What's your favorite beverage?,你最喜欢的饮料是什么？
27605,That child may have been kidnapped on his way home.,那个孩子可能在回家的路上被绑架了。
14310,He knocked on the closed door.,他敲了敲紧闭的门。
23638,He attributed his success to good luck.,他把他的成功归功于好运。
17608,My father drives a very old car.,我的父亲开一辆旧车。
1490,This isn't new.,这不是新的。
18976,She spent the weekend by herself.,她独自度过了周末。
3247,Tom loves singing.,汤姆爱唱歌。
6849,He runs as fast as you.,他跑得跟你一样快。
20949,I'm glad to make your acquaintance.,我很高兴能够认识您。
1425,My tummy hurts.,我肚子疼。
21463,Tom is probably pretty rich by now.,汤姆现在可能很有钱。
22719,She got very angry with her children.,她对她的孩子非常生气。
2691,Where's your dog?,你的狗在哪里？
22845,This is the time he normally arrives.,他这个时候该到了。
23977,There's somebody who wants to meet you.,有一个人想见你。
10441,She speaks fairly quickly.,她说话相当快。
27475,Tom had a hunch that Mary was seeing someone else.,汤姆预感到玛丽在见别人。
24500,Tom knows that I used to live in Boston.,汤姆知道我在波士顿住过。
6843,He looks down on women.,他小看女人。
16622,This box is too bulky to carry.,这个箱子太笨重了无法携带。
13085,"She likes music. ""So do I.""",“她喜欢音乐。”“我也是。”
15008,She made room for an old lady.,她让出个空间给一位老太太。
8572,Who are you working for?,你为谁工作？
9148,I want to call my family.,我想给家人打电话。
10813,You need to be aggressive.,你需要更有进取心。
25382,Were you playing tennis yesterday morning?,你昨天上午打网球了吗？
9552,Tom doesn't want to come.,汤姆不想来。
3196,This is real easy.,这真的很简单。
14500,I don't want to eat lunch now.,我现在不想吃午饭。
486,I said that.,我是那样说的。
15908,I believe this was unnecessary.,我相信这是不必要的。
370,"Oh, really?",噢，真的吗?
783,Shame on you!,你真丢脸！
21522,We have a door between our offices.,我们的办公室之间有扇门。
6382,Should Tom be worried?,Tom应该要担心吗？
27746,People should understand that the world is changing.,人应该明白世界在变。
23970,There is a photo of Tom on Mary's desk.,在玛丽的桌上有张汤姆的照片。
16682,Tom has a large jar of pennies.,汤姆有一大罐零钱。
17257,Here's something very important.,这里有些非常重要的东西。
16529,The dog followed me to my home.,这只狗跟着我到了我家。
2047,We can fix that.,我们可以修那个。
104,Grab Tom.,抓住汤姆。
22310,When did you begin to learn English?,你们什么时候开始学英语的？
18299,Go and buy three bottles of coke.,去买三瓶可乐。
13266,He wants to pay off his loan.,他想还清贷款。
5684,What's your nickname?,你的昵称是甚么？
3632,I need more butter.,我需要更多黄油。
16493,That film's really interesting.,那部电影很有意思。
13089,A big tree fell in the storm.,一棵大树在暴风中倒下。
15893,I am not wearing any underwear.,我没穿内衣。
11656,Tom is a very generous man.,汤姆是个大方的人。
18522,I caught him stealing the camera.,我抓到他偷相机。
23378,The carpenter brought his tools along.,木匠带着工具。
28120,Several cottages have been isolated by the flood water.,好几间小屋被洪水孤立起来了。
12663,She was wearing a blue coat.,她穿了一件蓝色大衣。
669,He loves her.,他爱她。
19473,Auckland is a city in New Zealand.,奥克兰是一座新西兰的城市。
26874,What would you do if you had a million dollars?,你有100万美元的话，你会做什么？
20322,Tom didn't want to talk to anyone.,汤姆不想跟任何人说话。
28043,"He'd like to have a coffee after work. ""I would too.""","他想在下班后喝杯咖啡。 ""我也想。"""
11634,Tom didn't have any family.,过去汤姆没有家。
1439,Science is fun.,科学好玩。
11039,How do I get to the police?,我怎么去警察局？
27314,You can ask the child that is playing over there.,你可以问问在那里玩的孩子。
27908,"We looked out the window, but we didn't see anything.",我们看了窗外，但什么都没看见。
4811,Welcome to our home.,欢迎来到我们家。
3258,Tom wants popcorn.,汤姆要爆米花。
20685,He never looks down on poor people.,他从未看不起穷人。
20507,You don't need to work on Sundays.,星期天的时候，你不用工作。
26711,He should have the right to decide for himself.,他应该有权利去自己做决定。
28898,The unemployment rate in Japan was 3.4 percent in September of 2015.,在2015年9月日本的失业率为3.4％。
16057,I poured water into the bucket.,我把水倒入了桶子里。
27662,You can't buy this medicine without a prescription.,那个药的话没有处方是买不到的。
7332,There's no coffee left.,没有咖啡剩下来。
1564,You have to go.,你们得走了。
18218,Be careful on your way back home.,回家的路上注意安全。
22472,He translated the verse into English.,他把诗翻译成英语。
14922,My son is playing in the rain.,我儿子在雨里玩。
11760,What browser are you using?,你用什么浏览器？
9965,He went back to the store.,他回店里去了。
16805,What did Tom expect Mary to do?,汤姆打算让玛丽做什么？
25414,You'll learn how to do it sooner or later.,你迟早会学会怎么做。
19739,I can solve the problem by myself.,我可以自己解决这个问题。
20332,Tom doubts whether Mary is honest.,汤姆怀疑玛丽是否诚实。
20750,How dare you speak to me like that!,你怎么敢这样跟我说话！
26230,Keep an eye on the child for me for a moment.,帮我看会儿孩子。
28221,Much of London was destroyed in the seventeenth century.,伦敦许多部份在十七世纪时被摧毁。
14174,Are you looking for something?,您在找什么吗？
3003,I'm a good person.,我是一个好人。
11978,Do you want to learn French?,您想学法语吗？
11716,Turn the radio up a little.,把收音机开大声一点。
5389,Let's not discuss it.,我们不要讨论它。
12055,He is not likely to succeed.,他不可能成功。
22634,It is absolutely impossible to do so.,绝对不可能这样做的。
1309,I missed a lot.,我错过了很多。
11345,It's raining cats and dogs.,雨下得很大。
17173,He left his son a large fortune.,他留给了他的儿子一大笔财富。
26048,Tom usually only eats oatmeal for breakfast.,汤姆通常早饭只吃燕麦。
27552,I think a movie is more entertaining than any book.,我认为一部电影的乐趣远胜于任何一本书。
22839,This factory manufactures CD players.,这个工厂生产CD播放器。
2514,That bag is mine.,那是我的包。
12577,Now shake hands and make up.,现在握个手和解吧。
24172,He made mistakes on purpose to annoy me.,他为了惹恼我故意犯错。
15754,He is used to getting up early.,他习惯早起。
22256,Tom's French is already rather good.,汤姆的法语已经很好了。
14245,English is useful in commerce.,英语在商业中很有用。
19270,"Two for the lunch buffet, please.",两人份自助午餐，谢谢。
25319,They've decided to get married next month.,他们已经决定下个月结婚。
9258,Is this bag yours or his?,那个包是你的还是他的？
27560,I'd like to try out this new model before I buy it.,我想在买之前先试试这个新机型。
8791,Don't make me stand here.,别让我一直站在这里。
25600,Let's proceed with the items on the agenda.,让我们继续进行议程上的项目。
12881,Tom sat at his desk working.,汤姆在他的桌边工作。
11249,I'd be thrilled to do that.,我很乐意这么做。
9777,You're safe here with me.,你和我在这里很安全。
21032,Let's meet in front of the theater.,让我们在戏院前面碰面。
21370,They all looked for the lost child.,他们都在寻找这个失踪的孩子。
5257,I was somewhere else.,我在另一个地方。
13932,Tom is as tall as his father.,汤姆跟他爸爸一样高。
20721,He's about the same age as you are.,他跟您年纪差不多。
19475,Being a teacher is very hard work.,做教师很辛苦。
21022,Learning English requires patience.,学英语需要耐性。
23207,I was the last one to turn in my test.,我是最后交的考试卷。
3301,What did you hear?,您听到什么了？
26976,I think that it's unlikely Tom will get elected.,我觉得汤姆不太可能会当选。
12041,He helped me do my homework.,他帮我做我的功课。
5406,My father grows rice.,我爸种水稻。
712,I wrote that.,我写了那些东西。
5783,You've grown so much!,你长这么大了!
4409,I often catch colds.,我常常感冒。
11688,Tom sneaked up behind Mary.,汤姆鬼鬼祟祟地遛近了玛丽身后。
5920,He comes from England.,他来自英格兰。
24387,Short skirts are already out of fashion.,短裙已经不流行了。
23117,I bought a few eggs and a little milk.,我买了几个鸡蛋和一点牛奶。
5411,My home is your home.,我家就是你家。
24790,It's almost time for the train to arrive.,现在差不多是火车要到的时间。
16934,You never listen to our advice.,你从来不听我们的建议。
21107,Please be ready in fifteen minutes.,请在15分钟内准备好。
3241,Tom isn't smiling.,汤姆没在笑。
23860,Making a good start is half the battle.,"有好的开始, 工作就完成了一半。"
21981,Is eating with chopsticks difficult?,用筷子吃饭难吗？
8493,We rented the apartment.,我们租了公寓。
28546,"It's wrong to deceive people, but worse to deceive yourself.","欺骗别人是错的, 但更糟的欺骗自己。"
9321,My aunt gave me an album.,我姑姑给了我一本集邮册。
23163,I hear from my mother once in a while.,我时不时得到母亲的消息。
20311,Those shoes won't do for climbing.,那种鞋子用来登山是不行的。
8444,Tom picked up the knife.,汤姆拿起了刀。
11109,I don't think you did this.,我不认为是你做的。
14511,I eat breakfast every morning.,我每天早上吃早餐。
18482,How long is your spring vacation?,你春假放多久？
12231,I got your letter yesterday.,我昨天收到了你的信。
24167,He has taken over his father's business.,他接手了他父亲的公司。
7292,"That's weird, isn't it?",那真奇怪，不是么？
3671,I'll just sit here.,我就坐这儿。
19861,I played with the baby on my knee.,我在膝盖上跟婴儿玩。
10629,Tom knows a lot of people.,汤姆交际广。
26322,Tom has been learning French for a few years.,汤姆学了几年法语。
17188,He made his way to the minister.,他设法当上了部长。
8940,How large is your family?,你的家庭有多大？
17593,Millions were affected that day.,那天有数百万人受影响。
20663,He hasn't actually been to America.,他还没有真正去过美国。
26011,"The weather was not only cold, but also wet.",天气又冷又湿。
2934,I kept on singing.,我继续唱歌。
10794,You and Tom must be happy.,你和汤姆一定很高兴。
15307,Tom will be a teacher someday.,汤姆有一天会成为教师。
4311,His speech moved us.,他的演说打动了我们。
14691,I will say something about it.,我会谈谈它。
6597,What did you find out?,你发现了甚么？
28282,Banks charge higher interest on loans to risky customers.,银行对风险客户收取较高的贷款利息。
12489,It looks like you need help.,看来你需要帮助。
26496,I'm not used to drinking coffee without sugar.,我不习惯喝无糖咖啡。
21756,He gave me a nice Christmas present.,他给了我一个很棒的圣诞礼物。
23152,I got this vacuum cleaner for nothing.,我免费得到了这个吸尘器。
27644,Tom says that Mary definitely won't accept the job.,汤姆说玛丽绝不会接受这工作。
16440,She respects her teacher a lot.,她非常尊敬她的老师。
3412,Are you mad at Tom?,你在生汤姆的气吗？
10416,See you again next Monday.,下周一再见。
19239,Tom may be able to come tomorrow.,汤姆可能能在明天来。
400,What is it?,它是什么？
2986,I will do my best.,我会尽力而为。
12764,They are about the same age.,他们年龄相仿。
16043,I lost my camera the other day.,那天我丢了我的照相机。
10251,I'm reading the newspaper.,我正在读报纸。
6605,What made her do that?,为什么她要做这种事情呢？
28388,"It says in the Bible, ""Man shall not live on bread alone.""",圣经里有一句话，叫做“人不能只靠面包生活”。
21974,"If Tom is really alive, where is he?",如果汤姆真的活着，他在哪里？
21759,He grew a beard to look more mature.,他留了胡子，为了让自己看起来更成熟。
12664,She won't be back till five.,她五点前不会回来。
6554,Tom's coach likes him.,汤姆的教练喜欢他。
8780,Do you want pepper on it?,您吃不吃辣椒？
26338,Tom seems to speak French better than before.,汤姆讲法语好像比以前好。
25671,The people here are accustomed to the cold.,这里的人习惯了寒冷。
10797,You can no longer hurt me.,你不再能伤害到我了。
5781,You've been deceived.,你被骗了。
12241,I have a thorn in my finger.,我的手指头有一根刺。
25474,"He can speak French, and obviously English.",他能说法语，当然还有英语。
19486,Can you think of something better?,你能想到更好的东西吗？
24677,I always keep a dictionary close at hand.,我总是在离手不远的地方放一本字典。
7233,She married a rich man.,她嫁给了一个有钱人。
27158,He explained the literal meaning of the sentence.,他解释了句子的字面意思。
22112,The French Revolution began in 1789.,法国大革命1789年开始。
11736,We have space for two beds.,我们有两张床的空位置。
519,Is Tom home?,汤姆在家里吗？
1755,I like eggplant.,我喜欢茄子。
4508,I've missed so much.,我错过了太多。
24341,Mother Teresa was given the Nobel prize.,特蕾莎修女被授予诺贝尔奖。
12919,We had a great relationship.,我们的关系非常好。
21857,I don't want to be friends with you.,我不想跟你交朋友。
16109,I was delayed by a traffic jam.,我被交通堵塞耽搁了。
5263,I wish you good luck.,祝你好运。
1069,Shake my hand.,和我握手。
15184,They are high school students.,他们是高中生。
8419,Tom is coming next week.,汤姆下周会来。
17463,I wonder what ear lobes are for.,我好奇耳垂有什么作用。
22460,He left his daughter a great fortune.,他留给他女儿一大笔财产。
665,He got angry.,他生气了。
22194,This ticket is valid for three days.,这张票三日有效。
13796,The conference ended at five.,会议在五点钟结束。
27789,We must take into account the fact that he is young.,我们必须考虑到他很年轻。
28190,"Due to the worsening weather, the departure was delayed.",由于天气变差，出发延迟了。
1699,How are you all?,你们好吗？
12164,I am playing volleyball now.,我现在在打排球。
18261,Do you think you could do better?,你觉得你能做得更好吗？
22130,The door was locked from the inside.,这门从里面被反锁了。
